lng,lat
-2.3579651,53.483797
-2.2266462,53.386979
-1.9987412,53.463813
-2.0712304,53.4694
-2.3559444,53.388228
-2.6105269,53.546466
-2.5289937,53.514442
-2.6729563,53.592691
-1.5485194,53.582418
-1.4532129,53.500135
-1.4831347,53.551197
-1.3404002,53.433284
-1.3984076,53.434498
-1.2044649,53.373706
-1.3214128,53.482867
-1.4055936,53.436215
-1.3906129,53.428023
-1.3147249,53.489238
-1.2238581,53.427263
-1.5212811,53.357805
-1.5972559,53.478029
-1.3970002,53.340298
-1.3917786,53.37478
-1.7941372,53.765147
-1.8125127,53.818629
-1.6999337,53.764859
-1.8474655,53.763483
-1.9268406,53.854506
-1.8216656,53.791418
-1.7168321,53.796564
-1.848535,53.698006
-1.9086438,53.714246
-1.8161924,53.643726
-1.6350272,53.720439
-1.7916359,53.651191
-1.6293276,53.589454
-1.4609198,53.796542
-1.5589492,53.760055
-1.6202227,53.745587
-1.6873665,53.810692
-1.3844627,53.757336
-1.3620192,53.900102
-1.48665,53.834045
-1.5518753,54.947625
-1.6013343,54.955517
-1.5455838,54.980842
-1.5593283,54.989906
-1.6192576,55.058224
-1.4074564,54.975701
-1.4291193,54.977242
-1.3930666,54.896963
-1.5235399,54.907951
-1.4288509,54.888186
-1.3792834,54.897936
-2.6303513,51.440338
-2.5384998,51.425546
-2.5720841,51.475057
-2.4712632,51.442623
-2.6228212,51.358481
-2.9291818,51.355156
-2.6771956,51.473283
-2.4835132,51.479915
-2.4791112,51.456978
-2.6016507,51.471177
-2.5940772,51.424585
-2.1300298,51.425974
-2.5114608,51.610802
-0.51035867,52.109085
-0.46594458,51.898781
-0.38392547,51.904049
-0.42454266,51.921009
-0.49521155,51.873712
-0.75081817,51.406535
-0.79509482,51.362433
-1.5148056,51.40519
-0.76053599,51.522967
-0.6210215,51.482834
-0.62941769,51.471783
-0.82243414,51.410945
-0.88936102,51.464605
-0.6227536,51.535278
-0.5865232,51.519363
-0.96172726,51.436063
-0.67093498,51.388229
-0.61751812,51.534857
-0.82595099,51.406124
-0.82804249,51.825941
-0.74406341,51.632825
-0.70470706,51.698649
-0.77221569,52.060584
-0.75110433,51.998476
-0.72840158,51.693746
-0.73761937,51.75712
0.16467044,52.180783
-0.27894512,52.576326
0.25923418,52.404277
-0.17270635,52.338015
0.17498839,52.658052
-2.8856061,53.184109
-2.7173042,53.334827
-2.4578636,53.067507
-2.4569687,53.091511
-2.566343,53.259288
-1.3763688,54.524458
-1.0208276,54.59649
-1.3656641,54.575143
-1.0594624,54.60582
-1.2413263,54.657225
-1.2607383,54.544118
-1.3467008,54.571124
-1.2919593,54.543451
-1.0756749,54.611822
-1.235218,54.548219
-4.6831154,50.621642
-5.2735047,50.106927
-4.8913807,50.338487
-5.2375761,50.025314
-4.4637835,50.458211
-5.6869607,50.124684
-5.4106461,50.184797
-5.5482793,50.119213
-4.719447,50.352039
-5.2276373,50.237981
-5.5489446,50.12442
-3.3510568,54.667188
-3.5553402,54.62484
-3.5335904,54.641664
-3.5926974,54.494604
-3.2585174,54.107114
-2.9424531,54.924719
-1.3969912,53.074188
-1.385927,53.094402
-1.5381835,52.775744
-1.3326775,53.101001
-1.3779934,53.307778
-1.4261898,53.018905
-1.5140283,52.894821
-1.2684821,53.277952
-1.9132214,53.261592
-1.9571912,53.441919
-1.4373577,52.882167
-1.3043622,52.921889
-1.5658813,52.778033
-1.3056958,52.990072
-1.9339385,53.340139
-1.2867013,52.892344
-3.4718677,50.716473
-4.0886342,51.064935
-2.9949113,50.783445
-3.5397986,50.706746
-3.4947394,50.738108
-4.3553344,50.812278
-4.2202924,51.015839
-4.154355,50.541668
-3.9998657,50.736579
-3.499322,50.468416
-3.9831172,51.102656
-4.4779914,50.992001
-3.5700551,50.431661
-3.5162284,50.729898
-3.4790433,50.575303
-2.7481284,50.746792
-1.7556793,50.740916
-1.5754877,54.684136
-1.6140703,54.694806
-1.5866631,54.784141
-1.5618212,54.518397
0.31863096,50.799443
-0.15110771,50.862759
0.24875209,50.940936
